,nprocs,POSIX_OPENS,LUSTRE_STRIPE_SIZE,LUSTRE_STRIPE_WIDTH,POSIX_FILENOS,POSIX_MEM_ALIGNMENT,POSIX_FILE_ALIGNMENT,POSIX_READS,POSIX_WRITES,POSIX_SEEKS,POSIX_STATS,POSIX_BYTES_READ,POSIX_BYTES_WRITTEN,POSIX_CONSEC_READS,POSIX_CONSEC_WRITES,POSIX_SEQ_READS,POSIX_SEQ_WRITES,POSIX_RW_SWITCHES,POSIX_MEM_NOT_ALIGNED,POSIX_FILE_NOT_ALIGNED,POSIX_SIZE_READ_0_100,POSIX_SIZE_READ_100_1K,POSIX_SIZE_READ_1K_10K,POSIX_SIZE_READ_100K_1M,POSIX_SIZE_WRITE_0_100,POSIX_SIZE_WRITE_100_1K,POSIX_SIZE_WRITE_1K_10K,POSIX_SIZE_WRITE_10K_100K,POSIX_SIZE_WRITE_100K_1M,POSIX_STRIDE1_STRIDE,POSIX_STRIDE2_STRIDE,POSIX_STRIDE3_STRIDE,POSIX_STRIDE4_STRIDE,POSIX_STRIDE1_COUNT,POSIX_STRIDE2_COUNT,POSIX_STRIDE3_COUNT,POSIX_STRIDE4_COUNT,POSIX_ACCESS1_ACCESS,POSIX_ACCESS2_ACCESS,POSIX_ACCESS3_ACCESS,POSIX_ACCESS4_ACCESS,POSIX_ACCESS1_COUNT,POSIX_ACCESS2_COUNT,POSIX_ACCESS3_COUNT,POSIX_ACCESS4_COUNT,tag
POSIX_STATS,0.9089823963285578,0.8839446468508603,0.0,0.7002122157187581,0.0,0.0,0.0,0.8532574261506988,0.7532532199848931,0.9067624812594004,1.0,0.8539106328822887,0.8190310079620396,0.9227818676885482,0.765899273908272,0.8799183898333987,0.7665281561463566,0.45831282316506344,0.9298004018953278,0.7147234178245866,0.9306035732892861,0.9110741661529359,0.8796261684765816,0.8075097409515458,0.7797255253559489,0.7959580097170658,0.1888662205459804,0.5269874081284944,0.1888662205459804,0.7661044847990022,0.7661044847990022,0.7022118452049868,0.7884558781104921,0.7022118452049868,0.8075097409515458,0.8075097409515458,0.7022118452049868,0.7145838244910704,0.774857451248951,0.6549890499720323,0.4789266833427068,0.8578033724325789,0.7512571442751768,0.8258190000265881,0.8055914826118025,0.6607068533458591
POSIX_BYTES_READ,0.8587518066645744,0.8384688425226658,0.0,0.737969077363814,0.0,0.0,0.0,0.7596267017822012,0.7062348589537066,0.7959836543465805,0.8539106328822887,1.0,0.7923045115174755,0.8533787596270934,0.7197573695225444,0.7358848827940321,0.721175181935043,0.4531479124117258,0.8864799493075138,0.6470950482554142,0.8387811539033588,0.8110484498242313,0.8542591728832497,0.8331595312314258,0.7403176291078669,0.7224575334585204,0.27753970415939067,0.5289379809106677,0.27753970415939067,0.7888895774420636,0.7888895774420636,0.7200313819281813,0.8129272172282128,0.7200313819281813,0.8331595312314258,0.8331595312314258,0.7200313819281813,0.6557317587942583,0.7604321930789416,0.5834305574958012,0.43015513323022464,0.7665675378091388,0.6605295537098415,0.7777187658293447,0.7569319485350725,0.6731194685787893
POSIX_BYTES_WRITTEN,0.7756259314567844,0.7911362195150168,0.0,0.7244905209183105,0.0,0.0,0.0,0.7113384789450282,0.8518604396196762,0.795465672298179,0.8190310079620396,0.7923045115174757,1.0,0.823680614971129,0.8647840354887607,0.7760014147446088,0.8648101886054017,0.4448714413468108,0.7792107943200339,0.7776123018180318,0.8213968304237129,0.7926197071276646,0.849079661580495,0.8179423790305135,0.8154366354721032,0.8787638124494215,0.2724706102323881,0.5192772503318978,0.2724706102323881,0.774480989026942,0.774480989026942,0.7068804465820538,0.7980795959394759,0.7068804465820538,0.8179423790305135,0.8179423790305135,0.7068804465820538,0.750626122998281,0.7605427789182867,0.6322261228634497,0.5220868601805311,0.8414157099243808,0.8020688310423227,0.7472610402993259,0.7397148160997634,0.6969157298041344
POSIX_CONSEC_READS,0.8728773204324324,0.894251511916493,0.0,0.6728648951953204,0.0,0.0,0.0,0.8811385099518827,0.7751009580138907,0.8856623031650409,0.9227818676885482,0.8533787596270934,0.823680614971129,1.0,0.7775824595410996,0.8622334143239896,0.7873019302518611,0.4521995457933866,0.8976452027669365,0.739279123715617,0.9097737902660047,0.8984632694026673,0.8789628239288673,0.7830302813879033,0.8014109054410822,0.8100779096534234,0.20376653745145576,0.5168458444334302,0.20376653745145576,0.7552298145386896,0.7552298145386896,0.6953956698419579,0.776213706855397,0.6953956698419578,0.7830302813879033,0.7830302813879033,0.6953956698419578,0.7328628213412838,0.7551732629723632,0.6806871908355551,0.48802561400741007,0.8755973283002768,0.7764390744163989,0.8252594834219599,0.8154885905695175,0.6619109564939135
POSIX_CONSEC_WRITES,0.7345135041101332,0.7565139932149559,0.0,0.7101601045311035,0.0,0.0,0.0,0.6686375652261327,0.9663208860968684,0.7527508529936023,0.7658992739082722,0.7197573695225445,0.8647840354887607,0.7775824595410996,1.0,0.7224127887617063,0.9775916724867006,0.4009373035130615,0.7441952937002441,0.7901237207087032,0.8079807220246632,0.741879173192379,0.8014613338327027,0.7807227975984189,0.8573754767918641,0.8361943086258851,0.07080246206634944,0.4424848823657725,0.07080246206634944,0.7373778345353064,0.7373778345353064,0.6693266188200578,0.761075301171341,0.6693266188200578,0.7807227975984189,0.7807227975984189,0.6693266188200578,0.7131707984173027,0.6770179233160014,0.6368447680161574,0.48252543113424873,0.8353005745244818,0.8175312029741143,0.7793211407195666,0.7463333882256565,0.6693425819480856
POSIX_SEQ_READS,0.793268896083949,0.845658810193531,0.0,0.5029376751713935,0.0,0.0,0.0,0.9166317512959151,0.7091617289025611,0.8167187456630097,0.8799183898333987,0.735884882794032,0.7760014147446086,0.8622334143239896,0.7224127887617061,1.0,0.7236736605050786,0.16211998416250964,0.8021468491294023,0.8268546686240255,0.8384440125094007,0.819154502114432,0.8168141100375708,0.6490109170985966,0.7373990505983675,0.7574736395955106,0.19555540183632392,0.26890931733690643,0.19555540183632392,0.5995301281206077,0.5995301281206077,0.7270824775669981,0.6277029597520122,0.7270824775669981,0.6490109170985966,0.6490109170985966,0.7270824775669981,0.6409421634058166,0.6886981871536505,0.604944355020168,0.35306583737945707,0.8237849848312272,0.7108302317954387,0.7651429561893026,0.7517366781325798,0.6733387508060329
POSIX_SEQ_WRITES,0.735734387075377,0.7670757725978429,0.0,0.704028125960105,0.0,0.0,0.0,0.6704694618129305,0.9891644651362052,0.7534181268461724,0.7665281561463565,0.721175181935043,0.8648101886054015,0.7873019302518611,0.9775916724867006,0.7236736605050788,1.0,0.4120261023476228,0.7452484385399889,0.8005903976194956,0.806095341364318,0.7427038867847748,0.8016291283842052,0.7826953932000393,0.8439262832598629,0.8359095334807621,0.09769225415968776,0.4515530737769728,0.09769225415968776,0.7523145020183037,0.7523145020183037,0.686599280145291,0.7752541800795628,0.6865992801452909,0.7826953932000393,0.7826953932000393,0.6865992801452909,0.725680374110667,0.6888347922888312,0.6250144841416533,0.4872331280847329,0.8197376609226587,0.8062980186785786,0.765081295482578,0.7559091612432131,0.67190999688042
POSIX_RW_SWITCHES,0.5197769811114771,0.42755324193400096,0.0,0.13566430622639913,0.0,0.0,0.0,0.1644267192856027,0.37299735454604643,0.36764302260128146,0.4583128231650635,0.4531479124117258,0.4448714413468108,0.4521995457933866,0.4009373035130615,0.16211998416250964,0.41202610234762294,1.0,0.5139945066975488,0.17069197667522443,0.4092508814671432,0.49692115066153103,0.48713138742154105,0.5988597386862301,0.41392952804703864,0.4117556565560951,0.5290960990544135,0.8857887710019665,0.5290960990544135,0.47951285535395705,0.47951285535395705,0.26416940940316663,0.5519374966038172,0.2641694094031666,0.5988597386862301,0.5988597386862301,0.2641694094031666,0.21737626698173115,0.3171430484488551,0.27056194804877004,0.4694252014836031,0.3765389398707376,0.34311370871482355,0.35476771780113064,0.3815023288194112,0.3388369093702179
POSIX_MEM_NOT_ALIGNED,0.9287434230707234,0.9319534823318425,0.0,0.7231128518373612,0.0,0.0,0.0,0.8181051854077964,0.7310316217107574,0.8940808486011743,0.9298004018953278,0.886479949307514,0.7792107943200337,0.8976452027669365,0.7441952937002441,0.8021468491294023,0.7452484385399889,0.5139945066975488,1.0,0.6793912983070118,0.9059628508778571,0.8867096456566598,0.8275007967960497,0.8582886333703821,0.7468903596748975,0.7700391481423803,0.2719524884290708,0.5802675801773151,0.2719524884290708,0.8163900168119312,0.8163900168119312,0.7524783713425689,0.8388173015751573,0.7524783713425689,0.8582886333703821,0.8582886333703821,0.7524783713425689,0.6497490845003595,0.7867706456564065,0.6172633092824403,0.4858799019017767,0.8525856748196075,0.7235963388477263,0.8053179161268871,0.7752151319418841,0.7009544448072746
POSIX_FILE_NOT_ALIGNED,0.6651304655738262,0.6954803998225738,0.0,0.49106204636155026,0.0,0.0,0.0,0.797209062684053,0.7874508762719353,0.7055618929679556,0.7147234178245866,0.6470950482554141,0.7776123018180319,0.739279123715617,0.7901237207087032,0.8268546686240255,0.8005903976194956,0.17069197667522443,0.6793912983070118,1.0,0.7270009043297778,0.693283925706861,0.7204738324474765,0.6411120236871637,0.8115978926484897,0.7297426536430841,0.21437414470020671,0.2735435184692909,0.21437414470020671,0.5930619125742143,0.5930619125742143,0.7182334014724123,0.6203698810835626,0.7182334014724123,0.6411120236871637,0.6411120236871637,0.7182334014724123,0.5718942923516204,0.6217210339942775,0.5315753146482194,0.3802291477347281,0.8154971861457687,0.6869637192744629,0.6786059337450925,0.6919562882175613,0.6652639987351876
